"Code","Libelle","Application","Categorie","Sensible","InterditPrestataire"
"BADGE-ATELIER","Badge — zone atelier","Contrôle d'accès","Métier","0","0"
"EPI-DOTATION","Dotation des équipements de protection","GMAO","Métier","0","0"
"ERP-LEC","ERP — lecture","ERP","Métier","0","0"
"LOGISTIQUE","Logistique — expéditions","ERP","Métier","0","0"
"STOCK","Stocks — mouvements","ERP","Métier","0","0"
"ACHAT-DEM","Achats — demande","Achats","Métier","0","0"
"ACHAT-VALID","Achats — validation","Achats","Sensible","1","1"
"FOURN-PORTAIL","Portail fournisseurs","Achats","Métier","0","0"
"COMPTA-SAISIE","Comptabilité — saisie","ERP","Métier","0","1"
"COMPTA-VALID","Comptabilité — validation","ERP","Sensible","1","1"
"FACTURE-FOURN","Factures fournisseurs","ERP","Métier","0","1"
"TRESORERIE","Trésorerie — virements","Trésorerie","Sensible","1","1"
"SIRH-DOSSIER","SIRH — dossiers des agents","SIRH","Sensible","1","1"
"PAIE","Paie — bulletins et variables","SIRH","Sensible","1","1"
"RECRUTEMENT","Recrutement — candidatures","SIRH","Métier","0","1"
"CONTRAT-MOD","Modèles de contrat de travail","SIRH","Métier","0","1"
"AD-ADMIN","Annuaire — administration","Annuaire","Sensible","1","1"
"POSTE-CONSOLE","Console de gestion des postes","Poste","Sensible","1","1"
"SUPERVISION-IT","Supervision du système d'information","Poste","Métier","0","0"
"COFFRE-SECRETS","Coffre de secrets techniques","Sécurité","Sensible","1","1"
"SAUVEGARDE","Sauvegardes — restauration","Sécurité","Sensible","1","1"
"BI-CODIR","Décisionnel — vue direction","Décisionnel","Sensible","1","1"
"JURIDIQUE-CTR","Contrats — base juridique","Juridique","Sensible","1","1"
"DIR-TABLEAU","Tableau de bord de direction","Décisionnel","Sensible","1","1"
"OBS-GED2003","GED historique (2003)","Legacy","Obsolète","0","0"
"OBS-FTP","Serveur FTP de transfert","Legacy","Obsolète","1","1"
"OBS-CRM1","Ancien CRM — lecture seule","Legacy","Obsolète","0","0"
"OBS-INTRANET1","Ancien intranet","Legacy","Obsolète","0","0"
